category,company,description
Animals & Pets,ruffandtumbledogcoats.com,"At Ruff and Tumble we are proud to be the market leaders in Dog Drying Coats.

Our high-quality, super-absorbent, double thickness soft cotton towelling drying rugs, with their unique, practical yet stylish design, is what sets us apart from other brands. Everything we make at Ruff and Tumble is designed with dogs and their owners in mind. Our Dog Drying Robes, Mitts, Bed Covers and Sofa Throws are the ultimate solution for managing wet dogs. Designed with care, and made from top quality cotton towelling, the Ruff and Tumble range is simply essential for dog owners everywhere."
Animals & Pets,protect-mypet.com,"A truly tailored solution to parasite protection

Our goal is simple: to keep every pet protected from parasites, by making parasite protection as easy and accessible as possible.

We deliver flea, tick and worm treatments through your letterbox in exactly the right doses for your pet, at exactly the right time. Simply answer a few questions about your pet, and select from a range of treatment options. We’ll tailor their treatments and put everything in their very own personalised dispensing envelope. When it arrives in the post, it’s time to dose! You’ll never forget to protect, and you can enjoy the convenience of having your pet’s care on your doormat when you need it.

Vet-recommended treatments you can trust

Our protection options include the UK’s No. 1 flea treatment, Frontline Plus, as well as market-leaders, Drontal and Dronspot, and other reputable products that are safe, effective and provide long-lasting protection. As a team of veterinary professionals ourselves, we wouldn’t have it any other way.

A commitment-free subscription that you control

Everything you need to manage your subscription is available at your fingertips via your online account. Make changes to your pet’s protection, add other pets to your subscription, pause or cancel deliveries and more.

Want to know more?


Visit our website to read our story, discover how we’re supporting pet welfare charities and enjoy fun reads in our pet-friendly hub: www.protect-mypet.com
"
Animals & Pets,vetscriptions.co.uk,"We care about your pets and believe that they should have access to the right medicines at an affordable price. We only sell products that your Vet would recommend so you can trust that our products are reliable and most importantly safe for your pet.

We can supply exactly the same products, from exactly the same suppliers as your local veterinary clinic, but because we are an online only retailer our overheads are lower, we can keep our prices lower too. In fact we guarantee that you will save at least 40% every time you buy from us

We sell prescription and other veterinary medicines, health supplements, nutraceuticals, remedies, animal medications online... basically all the health products that you might ever need, at HUGE discounts! 

"
Animals & Pets,animal-health.co.uk,"With market leading products, numerous awards and an impressive amount of media coverage, The Animal Health Company remains at the very forefront of animal care. The Animal Health Company produce a leading range of complementary feeds for equines and canines. The company was originally formed in 1990 and since then, has continued to make outstanding contributions to the world of animal healthcare. The meticulous research carried out by the Animal Health Company strongly reflects that of their motto, “committed to animal care.”"
Animals & Pets,www.travellingpet.vet,I am a veterinary surgeon qualified to complete paperwork for pet travel to the E.U. and further afield. I offer a home visit service and a hassle free way to get your paperwork completed before travel.
Animals & Pets,www.angellpetco.com,"We have 30 years experience in human seafood processing, world-wide.  We know where the best fish is, and how to produce it into beautiful treats and food for your dogs.  Our own dogs do all the tasting and testing (boy do they live in doggie heaven!)"
Animals & Pets,www.ourdogfoundation.org,O.U.R Dog Foundation is a C.I.C set up to help end the suffering of many Romanian dogs. We also have an online one stop dog shop where all profits go towards saving more kill shelter dogs. 
Sports,www.supplementsolutions.co.uk,"Award-winning online retailer of equine supplements & care products, pet products, flea treatments and wormers. Established 15 years; Supplement Solutions prides itself on providing excellent customer service and helpful advice from its team of friendly Supplement Specialists. "
Animals & Pets,cifood.co.uk,"We deliver really good, affordable, 100% natural dog food & treats to canny dog-owners who are looking beyond the bigger brands for better quality, service & value - we do it quickly too!"
Animals & Pets,pluspets.uk,"PlusPets is your online pet store, focusing on helping your pets lead full, healthy and happy lives."
